Store,Number,Balance,remaining,used
DQI Main,0237613761,680.71 L.E,245.91,154.09
DQI Backup,0237621888,541.77 L.E,129.06,10.94
MAD Main,0225194422,789.31 L.E,92.33,307.67
MAD Backup,0225194441,412.81 L.E,139.16,0.84
NSR Main,0222701186,495.45 L.E,149.55,100.45
NSR Backup,0222716555,575.09 L.E,138.75,1.25
MSG Main,0227764017,750.71 L.E,263.87,136.13
MSG Backup,0227764555,316.33 L.E,139.53,0.47
ZYD Main,0238860542,1267.54 L.E,54.89,345.11
ZYD Backup,0238860008,604.39 L.E,121.92,18.08
RHB Main,0226948820,359.30 L.E,139.84,0.16
TGM Main,0225641141,1157.38 L.E,33.49,366.51
TGM Backup,0225603344,375.97 L.E,139.95,0.05
SOD Main,0238863423,2958.08 L.E,163.58,236.42
SOD Backup,0238573447,585.27 L.E,119.53,20.47
MDC Main,0235391499,481.93 L.E,128.81,11.19
OCT Main,0238379383,1215.27 L.E,243.71,156.29
OCT Backup,0238355580,548.08 L.E,136.2,3.8
MIV Main,0225331143,387.91 L.E,139.67,0.33
